facebook,2890,
instagram,1300,
tinder,75,
grindr,,
uber,93,
tiktok,1000,
strava,76,
tesco,70,
spotify,365,
myfitnesspal,200,
clubhouse,10,
jet2,,
credit_karma,,
twitter,186,
airbnb,150,
lidl_plus,,
american_airlines,,
ebay,159,
netflix,192,
nike,,
asos,1.8,
depop,4,
ryanair,,
ocado,,
sleepcycle,2,
paypal,337,
google_maps,500,
youtube,2300,890
slack,12,
ikea_app,,
amazon,,
trainline,30,
slimming_world,,
walmart,,
whatsapp,2000,
zoom,185,
deliveroo,7,
protect_scotland,0.9,
costar,,
cvs_pharmacy,,
offerup,,
doordash,20,
amtrak,,
coinbase,52,
justeat,60,
facetune,,
wetherspoon,,
pornhub,,
mcdonalds_usa,,
bet365_usa,,
headspace,2,
google_docs,,
google_sheets,,
gmail,1350,
vsco,,
skybet,,
flo_my_health,22,