company,tos,legal_obligations,consumer_interest,public_interest,innovation,improvements,personalisation,profitability,communicate_with_user,fulfill_transactions,data_analysis,share_with_third_party,user_response,source,source_2
facebook,1,1,1,1,1,1,1,1,1,1,1,1,0,https://en-gb.facebook.com/policy.php,https://www.facebook.com/about/privacy/legal_bases
instagram,1,1,1,1,1,1,1,1,1,1,1,1,,https://help.instagram.com/519522125107875/?maybe_redirect_pol=0,
tinder,1,1,1,0,0,1,1,0,1,1,1,1,1,https://policies.tinder.com/privacy/intl/en#how-we-use-info,https://www.help.tinder.com/hc/en-us/articles/360003082172-Profiling-and-automated-decision-making-at-Tinder
grindr,0,1,1,0,0,1,1,0,1,1,1,1,,https://www.grindr.com/privacy-policy/?lang=en-US,https://www.grindr.com/privacy-policy/eea-legal-basis/?lang=en-US
uber,1,1,1,1,1,1,1,0,1,1,1,1,,https://www.uber.com/legal/en/document/?country=united-states&lang=en&name=privacy-notice,
tiktok,1,1,1,1,1,1,1,0,1,1,1,1,,https://www.tiktok.com/legal/privacy-policy-eea?lang=en,
strava,1,1,1,1,1,1,1,0,1,1,1,1,,https://www.strava.com/legal/privacy#full_policy,https://www.strava.com/legal/legal_bases
tesco,0,1,1,0,0,1,1,0,1,1,1,1,,https://www.tesco.com/help/privacy-and-cookies/privacy-centre/privacy-policy-information/privacy-policy/,
spotify,1,1,0,0,0,1,1,0,0,1,1,1,,https://www.spotify.com/us/legal/privacy-policy/#4-our-purpose-for-using-your-personal-data,
myfitnesspal,1,1,1,1,1,1,1,0,1,1,1,1,,https://www.myfitnesspal.com/privacy-policy,
clubhouse,1,1,1,0,0,1,1,0,1,1,1,1,,https://privacy.clubhouse.com/#4f1505ad8b5949b58227f086e4d2faf1,
jet2,0,1,1,1,0,1,1,0,1,1,1,1,,https://www.jet2.com/en/privacy,
credit_karma,1,1,0,0,0,1,1,0,1,0,1,1,,https://www.creditkarma.com/about/privacy-20200101,
twitter,0,1,0,1,0,1,1,0,1,1,1,1,,https://twitter.com/en/privacy,https://help.twitter.com/en/rules-and-policies/data-processing-legal-bases
airbnb,1,1,1,1,0,1,1,0,1,1,1,1,,https://www.airbnb.co.uk/help/article/3175/privacy-policy?_set_bev_on_new_domain=1645626680_Mzk4MTg2MDA0MjUz,https://www.airbnb.org/legal/privacy
lidl_plus,0,1,0,0,0,1,1,0,1,0,1,1,,https://www.lidl.co.uk/pages/lidl-app-privacy-notice,file:///Users/bendsouza/Downloads/Lidl%20Plus%20NI%20Data%20Protection%20Policy%20April%202021%20.pdf
american_airlines,0,1,1,1,0,1,1,0,1,1,1,1,,https://www.aa.com/i18n/customer-service/support/privacy-policy.jsp,
ebay,1,1,1,0,0,1,1,0,1,1,1,1,,https://www.ebay.co.uk/help/policies/member-behaviour-policies/user-privacy-notice-privacy-policy?id=4260#section5,
netflix,1,1,1,1,0,1,1,0,1,1,1,1,,https://help.netflix.com/legal/privacy,
nike,1,1,1,0,0,1,1,0,1,1,1,1,,https://agreementservice.svs.nike.com/gb/en_gb/rest/agreement?agreementType=privacyPolicy&uxId=com.nike.unite&country=GB&language=en&requestType=redirect,
asos,1,1,1,0,0,1,1,0,1,1,1,1,,https://www.asosplc.com/privacy-policy/,https://www.asos.com/privacy-policy/
depop,1,1,0,0,0,1,1,0,1,1,1,1,,https://depophelp.zendesk.com/hc/en-gb/articles/360001792147-Privacy-Policy-#h_01FJ2FX6HD4NXD3HDAE744XSZP,
ryanair,1,1,1,1,0,1,1,0,1,1,1,1,,https://www.ryanair.com/gb/en/corporate/privacy-policy,
ocado,0,1,0,0,1,1,1,0,1,1,1,1,,https://www.ocado.com/webshop/scontent/privacyPolicy,
sleepcycle,1,1,0,1,0,1,1,0,1,1,1,1,,"https://www.sleepcycle.com/privacy-policy-2021/#:~:text=Depending%20on%20what%20personal%20data,indicate%20information%20about%20your%20health.&text=We%20do%20not%20collect%20information,the%20app)%20to%20do%20so.",
paypal,1,1,0,0,0,1,1,0,1,1,1,1,,https://www.paypal.com/uk/webapps/mpp/ua/privacy-full#4,
google_maps,1,1,1,1,1,1,1,0,1,1,1,1,,https://policies.google.com/privacy?hl=en-US,
youtube,1,1,1,1,1,1,1,0,1,1,1,1,,https://policies.google.com/privacy?hl=en-US,
slack,0,1,1,0,0,1,1,0,1,1,1,1,,https://slack.com/intl/en-gb/trust/privacy/privacy-policy#information,
ikea_app,0,1,0,0,0,1,1,0,1,1,1,1,,https://www.ikea.com/gb/en/customer-service/privacy-policy/,
amazon,0,1,1,0,0,1,1,0,1,1,1,1,,https://www.amazon.co.uk/gp/help/customer/display.html?nodeId=GX7NJQ4ZB8MHFRNJ#GUID-A440AA65-7F7E-4134-8FA8-842156F43EEE__SECTION_884CD7EF64C84F8EAAFF3DA99089CE85,
trainline,0,0,0,0,0,1,1,0,1,1,1,1,,https://www.thetrainline.com/terms/privacy,
slimming_world,0,0,0,0,1,1,1,0,1,0,1,1,,"https://www.slimmingworld.co.uk/privacy-policy#:~:text=We%20will%20only%20hold%20your,activity%20as%20an%20online%20member.",
whatsapp,1,1,1,0,1,1,1,0,1,1,1,1,,https://www.whatsapp.com/legal/updates/privacy-policy/,
zoom,1,1,1,1,0,1,1,0,1,1,1,1,,https://explore.zoom.us/en/privacy/,
deliveroo,1,1,0,0,0,1,1,0,1,1,1,1,,https://deliveroo.co.uk/privacy,
costar,1,1,0,0,0,1,1,0,1,0,1,1,,"https://www.costarastrology.com/privacy#:~:text=Co%2DStar%20does%20not%20sell,and%20for%20other%20commercial%20purposes.",
cvs_pharmacy,1,1,1,1,0,1,1,0,1,1,1,1,,https://www.cvshealth.com/app-privacy-policy,
coinbase,1,1,1,1,1,1,1,0,1,1,1,1,,https://www.coinbase.com/legal/privacy,
justeat,1,1,1,0,0,1,1,0,1,1,1,1,,https://www.just-eat.co.uk/info/privacy-policy,
facetune,1,1,1,1,1,1,1,0,1,1,1,1,,https://static.lightricks.com/legal/Lightricks-Privacy-Policy-13-06-2019.pdf,
wetherspoon,1,1,0,1,0,1,1,0,1,1,1,1,,https://www.jdwetherspoon.com/pubs/order-and-pay-app/app-privacy-policy,https://www.jdwetherspoon.com/privacy-policy#_Toc16842162
pornhub,1,1,0,0,0,0,1,0,1,1,1,1,,https://www.pornhub.com/information/privacy,
mcdonalds,1,1,0,1,0,1,1,0,1,1,1,1,,https://www.mcdonalds.com/gb/en-gb/privacy-policy/full.html#info3,
bet365,1,1,1,1,0,1,0,0,1,1,1,1,,https://help.bet365.com/en/privacy-policy,
headspace,0,1,0,0,0,1,1,0,1,1,1,1,,https://www.headspace.com/privacy-policy,
google_docs,1,1,1,1,1,1,1,0,1,1,1,1,,https://policies.google.com/privacy?hl=en-US,
google_sheets,1,1,1,1,1,1,1,0,1,1,1,1,,https://policies.google.com/privacy?hl=en-US,
gmail,1,1,1,1,1,1,1,0,1,1,1,1,,https://policies.google.com/privacy?hl=en-US,
vsco,1,1,1,0,0,1,1,0,1,1,1,1,,https://vsco.co/about/privacy_policy,
skybet,1,1,1,0,0,1,1,0,1,1,1,1,,https://support.skybet.com/s/article/Cookies-Policy-Privacy-Notice#how_we_use_info,
flo_my_health,0,1,0,0,0,1,1,0,1,1,1,1,,https://flo.health/privacy-policy#how-we-use-your-personal-data,
snapchat,1,1,1,0,0,1,1,0,1,1,1,1,,https://snap.com/en-GB/privacy/privacy-policy,
bumble,1,1,1,0,0,1,1,0,1,1,1,1,,https://bumble.com/en/privacy,